Date,Voucher_Number,Reference,Category,Category_Type,Voucher_Type,Ledger_Name,Ledger_Parent,Amount,State_Name
05-05-2026,P/052/SC/26-27,P/052/OM/WTP/26-27,WTP,OM,Service,Mani?s Facility Management Pvt. Ltd. (Mani's Mall),Calcutta Debtors,62000.0,West Bengal
05-05-2026,P/053/SC/26-27,P/053/OM/WTP/26-27,WTP,OM,Service,SWARNAMANI RESIDENTS WELFARE ASSOCIATION,Calcutta Debtors,70000.0,West Bengal
05-05-2026,P/054/SC/26-27,P/054/OM/WTP/26-27,WTP,OM,Service,SIDDHA EDEN LAKEVILLE SERVICES,Calcutta Debtors,76250.04,West Bengal
05-05-2026,P/055/SC/26-27,P/055/OM/WTP/26-27,WTP,OM,Service,SIDDHA GALAXIA SERVICES,Calcutta Debtors,44000.0,West Bengal
05-05-2026,P/056/SC/26-27,P/056/OM/WTP/26-27,WTP,OM,Service,BENGAL SHRIRAM HI-TECHCITY PVT. LTD.,Calcutta Debtors,72000.0,West Bengal
05-05-2026,P/057/SC/26-27,P/057/OM/WTP/26-27,WTP,OM,Service,CHOWRINGHEE RESIDENCY PVT. LTD.,Calcutta Debtors,50000.0,West Bengal
05-05-2026,P/058/SC/26-27,P/058/OM/WTP/26-27,WTP,OM,Service,CHOWRINGHEE RESIDENCY PVT. LTD.,Calcutta Debtors,65776.0,West Bengal
05-05-2026,P/059/SC/26-27,P/059/OM/WTP/26-27,WTP,OM,Service,Mani?s Facility Management Private Limited. (Magus Bengal),Calcutta Debtors,24675.0,West Bengal
05-05-2026,P/060/SC/26-27,P/060/OM/WTP/26-27,WTP,OM,Service,Mani?s Facility Management Private Limited. (Magus Bengal),Calcutta Debtors,68000.0,West Bengal
05-05-2026,P/061/SC/26-27,P/061/OM/WTP/26-27,WTP,OM,Service,GRAP FACILITY MANAGEMENT LLP,Calcutta Debtors,25000.0,West Bengal
